NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
Coca-Cola,Beverages,0,2013,60,Cisco Systems,46061,8041
Lockheed Martin,Aerospace and Defense,4,2013,61,Best Buy,45087,-441
FedEx,"Mail, Package, and Freight Delivery",3,2013,62,Safeway,44206.5,596.5
Johnson Controls,Motor Vehicles and Parts,3,2013,63,FedEx,42680,2032
Plains GP Holdings,Pipelines,15,2013,64,Enterprise Products Partners,42583.1,2419.9
World Fuel Services,Wholesalers: Diversified,2,2013,65,Sysco,42380.9,1121.6
CHS,Food Production,6,2013,66,Disney,42278,5682
American Airlines Group,Airlines,3,2013,67,Johnson Controls,41955,1226
Merck,Pharmaceuticals,10,2013,68,Goldman Sachs Group,41664,7475
Best Buy,Consumer Brands / Electronics,31,2013,69,CHS,40599.3,1260.6
Delta Air Lines,Airlines,-2,2013,70,Abbott Laboratories,39873.9,5962.9
Honeywell International,"Electronics, Electrical Equip.",-7,2013,71,Sears Holdings,39854,-930
HCA Holdings,Health Care: Medical Facilities,8,2013,72,DuPont,39528,2788
Goldman Sachs Group,Commercial Banks,4,2013,73,Humana,39126,1222
Tesoro,Petroleum Refining,-8,2013,74,World Fuel Services,38945.3,189.3
Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),-1,2013,75,Hess,38373,2025
United Continental Holdings,Airlines,-8,2013,76,Ingram Micro,37827.3,305.9
New York Life Insurance,"Insurance: Life, Health (Mutual)",0,2013,77,Plains GP Holdings,37797,1094
Oracle,Technology / Software,25,2013,78,Honeywell International,37665,2926
Tyson Foods,Food Production,3,2013,79,United Continental Holdings,37152,-723
Safeway,Food and Drug Stores,5,2013,80,Oracle,37121,9981
Nationwide,Insurance: Property and Casualty (Mutual),4,2013,81,Liberty Mutual Insurance Group,36944,829
Deere,Construction and Farm Machinery,-9,2013,82,HCA Holdings,36783,1605
DuPont,Chemicals,11,2013,83,Delta Air Lines,36670,1009
American Express,Financial Services / Credit cards,29,2013,84,Aetna,36595.9,1657.9
Allstate,Insurance: Property and Casualty (Stock),2,2013,85,Deere,36157.1,3064.7
Cigna,Health Care: Insurance and Managed Care,-5,2013,86,Supervalu,36100,-1040
Mondelez International,Food Consumer Products,-10,2013,87,Sprint Nextel,35345,-4326
TIAA-CREF,"Insurance: Life, Health (Mutual)",-3,2013,88,Mondelez International,35015,3028
INTL FCStone,Diversified Financials,5,2013,89,New York Life Insurance,34308.6,1333.2
Massachusetts Mutual Life Insurance,"Insurance: Life, Health (Mutual)",16,2013,90,American Express,33808,4482
DirecTV,Telecommunications / Cable/TV service,12,2013,91,News Corp.,33706,1179
Halliburton,"Oil and Gas Equipment, Services",-10,2013,92,Allstate,33315,2306
Fox,Entertainment,1,2013,93,Tyson Foods,33278,583
3M,Manufacturing,46,2013,94,Massachusetts Mutual Life Insurance,32872.2,1114.6
Sears Holdings,General Merchandisers,-10,2013,95,Tesoro,32484,743
General Dynamics,Aerospace and Defense,-5,2013,96,Morgan Stanley,32355,68
Publix Super Markets,Food and Drug Stores,1,2013,97,TIAA-CREF,32156,2060
Philip Morris International,Tobacco,16,2013,98,General Dynamics,31513,-332
TJX,Specialty Retailers: Apparel,14,2013,99,Philip Morris International,31377,8800
Time Warner,Telecommunications / Cable/TV service,-5,2013,100,Nationwide,30356.3,748.5
Macy's,General Merchandisers,-2,2013,101,3M,29904,4444
Nike,Consumer Brands / Retail/E-tail,30,2013,102,DirecTV,29740,2949
Tech Data,Wholesalers: Electronics and Office Equipment,14,2013,103,Cigna,29119,1623
Avnet,Wholesalers: Electronics and Office Equipment,0,2013,104,Murphy Oil,28776.4,970.9
Northwestern Mutual,"Insurance: Life, Health (Mutual)",-2,2013,105,Time Warner,28729,3019
McDonald's,Consumer Brands / Fast Food,-8,2013,106,Halliburton,28503,2635
Exelon,Utilities: Gas and Electric,-4,2013,107,International Paper,27833,794
Travelers Cos.,Insurance: Property and Casualty (Stock),0,2013,108,Publix Super Markets,27706.8,1552.3
Qualcomm,Network and Other Communications Equipment,9,2013,109,Macy's,27686,1335
International Paper,"Packaging, Containers",-2,2013,110,Fluor,27577.1,456.3
Occidental Petroleum,"Mining, Crude-Oil Production",-2,2013,111,McDonald's,27567,5464.8
Duke Energy,Utilities: Gas and Electric,16,2013,112,Hartford Financial Services Group,26412,-38
Rite Aid,Food and Drug Stores,4,2013,113,Rite Aid,26121.2,-368.6
Gilead Sciences,Pharmaceuticals,1,2013,114,Northwestern Mutual,25957,783
Baker Hughes,"Oil and Gas Equipment, Services",0,2013,115,TJX,25878.4,1906.7
Emerson Electric,"Electronics, Electrical Equip.",-1,2013,116,Travelers Cos.,25740,2473
EMC,Computer Peripherals,4,2013,117,Avnet,25707.5,567
USAA,Financial Services / Banking,75,2013,118,Aflac,25364,2866
Union Pacific,Railroads,13,2013,119,Tech Data,25361,214.6
Northrop Grumman,Aerospace and Defense,-7,2013,120,Northrop Grumman,25218,1978
Alcoa,Metals,11,2013,121,AMR,24855,-1876
Capital One Financial,Commercial Banks,8,2013,122,Staples,24671.9,-210.7
National Oilwell Varco,"Oil and Gas Equipment, Services",3,2013,123,Emerson Electric,24507,1968
US Foods,Wholesalers: Food and Grocery,3,2013,124,Raytheon,24414,1888
Raytheon,Aerospace and Defense,15,2013,125,Occidental Petroleum,24253,4598
Time Warner Cable,Telecommunications / Cable/TV service,-5,2013,126,Nike,24128,2223
Arrow Electronics,Wholesalers: Electronics and Office Equipment,7,2013,127,Capital One Financial,23771,3517
Aflac,"Insurance: Life, Health (stock)",11,2013,128,Alcoa,23700,191
Staples,Specialty Retailers: Other,-8,2013,129,Exelon,23489,1160
Community Health Systems,Health Care: Medical Facilities,10,2013,130,Eli Lilly,22603.4,4088.6
Fluor,"Engineering, Construction",11,2013,131,Xerox,22390,1195
Freeport-McMoRan,"Mining, Crude-Oil Production",-1,2013,132,U.S. Bancorp,22202,5647
Nucor,Metals,-8,2013,133,EMC,21713.9,2732.6
Kimberly-Clark,Household and Personal Products,15,2013,134,Time Warner Cable,21386,2155
Hess,Petroleum Refining,-1,2013,135,Baker Hughes,21361,1311
Chesapeake Energy,"Mining, Crude-Oil Production",-4,2013,136,Kimberly-Clark,21063,1750
Xerox,Technology / Other,41,2013,137,Goodyear Tire & Rubber,20992,212
Amgen,Pharmaceuticals,5,2013,138,Union Pacific,20926,3943
AbbVie,Pharmaceuticals,-3,2013,139,USAA,20728.6,2832.3
Danaher,"Scientific,Photographic and Control Equipment",10,2013,140,ManpowerGroup,20678,197.6
Whirlpool,"Electronics, Electrical Equip.",6,2013,141,Arrow Electronics,20405.1,506.3
PBF Energy,Petroleum Refining,-8,2013,142,PBF Energy,20138.7,2
HollyFrontier,Petroleum Refining,6,2013,143,HollyFrontier,20090.7,1727.2
Eli Lilly,Pharmaceuticals,-9,2013,144,National Oilwell Varco,20041,2491
Devon Energy,"Mining, Crude-Oil Production",2,2013,145,Duke Energy,19624,1768
Progressive,Insurance: Property and Casualty (Stock),-2,2013,146,Nucor,19429.3,504.6
Cummins,Construction and Farm Machinery,4,2013,147,United States Steel,19328,-124
Icahn Enterprises,Petroleum Refining,-1,2013,148,Kohl's,19279,986
AutoNation,"Automotive Retailing, Services",11,2013,149,Qualcomm,19121,6109
Kohl's,General Merchandisers,-1,2013,150,CenturyLink,18376,777
Paccar,Motor Vehicles and Parts,7,2013,151,Kraft Foods Group,18339,1642
Dollar General,General Merchandisers,16,2013,152,Danaher,18270.3,2392.2
Hartford Financial Services Group,Insurance: Property and Casualty (Stock),-4,2013,153,AES,18207,-912
Southwest Airlines,Airlines,3,2013,154,Whirlpool,18143,401
Anadarko Petroleum,"Mining, Crude-Oil Production",-1,2013,155,Illinois Tool Works,18066,2870
Southern,Utilities: Gas and Electric,12,2013,156,Freeport-McMoRan,18010,3041
Supervalu,Food and Drug Stores,11,2013,157,Global Partners,17626,45.5
Kraft Foods Group,Food Consumer Products,7,2013,158,Bristol-Myers Squibb,17621,1960
Goodyear Tire & Rubber,Motor Vehicles and Parts,11,2013,159,Altria Group,17500,4180
EOG Resources,"Mining, Crude-Oil Production",13,2013,160,Cummins,17334,1645
CenturyLink,Telecommunications,-6,2013,161,Energy Transfer Equity,17288,302
Tenet Healthcare,Health Care: Medical Facilities,9,2013,162,Amgen,17265,4345
General Mills,Food Consumer Products,-8,2013,163,Jabil Circuit,17151.9,394.7
eBay,Consumer Brands / Retail/E-tail,38,2013,164,Southwest Airlines,17088,421
ConAgra Foods,Food Consumer Products,12,2013,165,Colgate-Palmolive,17085,2472
Lear,Motor Vehicles and Parts,9,2013,166,Progressive,17083.9,902.3
TRW Automotive Holdings,Motor Vehicles and Parts,16,2013,167,Apache,17078,2001
United States Steel,Metals,-8,2013,168,Paccar,17050.5,1111.6
Penske Automotive Group,"Automotive Retailing, Services",-8,2013,169,General Mills,16657.9,1567.3
AES,Utilities: Gas and Electric,7,2013,170,PNC Financial Services Group,16606,3013
Colgate-Palmolive,Household and Personal Products,14,2013,171,Southern,16537,2350
Global Partners,Wholesalers: Diversified,-8,2013,172,Medtronic,16507,3617
Thermo Fisher Scientific,"Scientific,Photographic and Control Equipment",-4,2013,173,TRW Automotive Holdings,16444,1008
PG&E Corp.,Utilities: Gas and Electric,-4,2013,174,Marathon Oil,16221,1582
NextEra Energy,Utilities: Gas and Electric,11,2013,175,Dollar General,16022.1,952.7
American Electric Power,Utilities: Gas and Electric,6,2013,176,Computer Sciences,15877,-4242
Baxter International,Medical Products and Equipment,1,2013,177,AutoNation,15668.8,316.4
Centene,Health Care: Insurance and Managed Care,-2,2013,178,Icahn Enterprises,15654,379
Starbucks,Consumer Brands / Fast Food,77,2013,179,Gap,15651,1135
Gap,Consumer Brands / Retail/E-tail,21,2013,180,Bank of New York Mellon Corp.,15493,2445
Bank of New York Mellon Corp.,Commercial Banks,5,2013,181,FirstEnergy,15303,770
Micron Technology,Semiconductors and Other Electronic Components,9,2013,182,PPG Industries,15200,941
Jabil Circuit,Semiconductors and Other Electronic Components,-9,2013,183,PG&E Corp.,15040,816
PNC Financial Services Group,Commercial Banks,14,2013,184,Community Health Systems,14988.2,265.6
Kinder Morgan,Pipelines,-4,2013,185,American Electric Power,14945,1259
Office Depot,Specialty Retailers: Other,10,2013,186,CBS,14677,1574
Bristol-Myers Squibb,Pharmaceuticals,7,2013,187,Lear,14567,1282.8
NRG Energy,Energy,-6,2013,188,Loews,14552,568
Monsanto,Chemicals,-6,2013,189,DISH Network,14266.5,636.7
PPG Industries,Chemicals,13,2013,190,NextEra Energy,14256,1911
Genuine Parts,Wholesalers: Diversified,-9,2013,191,Omnicom Group,14219.4,998.3
Omnicom Group,"Advertising, marketing",7,2013,192,Kellogg,14197,961
Illinois Tool Works,Industrial Machinery,6,2013,193,Baxter International,14190,2326
Murphy USA,Specialty Retailers: Other,8,2013,194,Land O'Lakes,14116.2,240.4
Land O'Lakes,Food Consumer Products,11,2013,195,Coventry Health Care,14113.4,487.1
Western Refining,Petroleum Refining,5,2013,196,eBay,14072,2609
Western Digital,Computer Peripherals,-9,2013,197,L-3 Communications,14057,810
FirstEnergy,Utilities: Gas and Electric,-7,2013,198,Viacom,13887,1981
DISH Network,Telecommunications,-3,2013,199,US Airways Group,13831,637
Las Vegas Sands,"Hotels, Casinos, Resorts",14,2013,200,Waste Management,13649,817
Kellogg,Consumer Brands / FMCG,27,2013,201,Yum Brands,13633,1597
Loews,Insurance: Property and Casualty (Stock),-3,2013,202,Chubb,13595,1545
CBS,Entertainment,5,2013,203,Penske Automotive Group,13593.2,185.5
Ecolab,Chemicals,13,2013,204,"Toys ""R"" Us",13543,38
Whole Foods Market,Food and Drug Stores,1,2013,205,Aramark,13505.4,138.2
Chubb,Insurance: Property and Casualty (Stock),6,2013,206,Monsanto,13504,2045
Health Net,Health Care: Insurance and Managed Care,8,2013,207,Anadarko Petroleum,13411,2391
Waste Management,Waste Management,15,2013,208,Starbucks,13299.5,1383.8
Apache,"Mining, Crude-Oil Production",13,2013,209,ConAgra Foods,13263.1,467.9
Textron,Aerospace and Defense,-3,2013,210,Dominion Resources,13150,302
Synnex,Wholesalers: Electronics and Office Equipment,4,2013,211,Parker-Hannifin,13145.9,1151.8
Viacom,Telecommunications / Cable/TV service,-23,2013,212,Edison International,13104,-183
Lincoln National,"Insurance: Life, Health (stock)",9,2013,213,Smithfield Foods,13094.3,361.3
Nordstrom,General Merchandisers,11,2013,214,Genuine Parts,13013.9,648
C.H. Robinson Worldwide,Transportation and Logistics,1,2013,215,J.C. Penney,12985,-985
Marathon Oil,"Mining, Crude-Oil Production",14,2013,216,Navistar International,12948,-3010
Yum Brands,Food Services,5,2013,217,Dean Foods,12900.6,158.6
Computer Sciences,Information Technology Services,-4,2013,218,Texas Instruments,12825,1759
Parker-Hannifin,Industrial Machinery,12,2013,219,Oneok,12660.2,360.6
DaVita HealthCare Partners,Health Care: Medical Facilities,4,2013,220,Thermo Fisher Scientific,12657,1177.9
CarMax,"Automotive Retailing, Services",16,2013,221,Ally Financial,12643,1196
Texas Instruments,Semiconductors and Other Electronic Components,9,2013,222,Western Digital,12478,1612
WellCare Health Plans,Health Care: Insurance and Managed Care,6,2013,223,Chesapeake Energy,12316,-769
Marsh & McLennan,Diversified Financials,-8,2013,224,PPL,12286,1526
Consolidated Edison,Utilities: Gas and Electric,1,2013,225,Textron,12237,589
Oneok,Pipelines,-6,2013,226,Consolidated Edison,12188,1138
Visa,Financial Services / Credit cards,8,2013,227,Nordstrom,12148,735
Jacobs Engineering Group,"Engineering, Construction",2,2013,228,Marsh & McLennan,11924,1176
CSX,Railroads,1,2013,229,Ecolab,11838.7,703.6
Entergy,Utilities: Gas and Electric,-4,2013,230,Marriott International,11814,571
Facebook,Consumer Brands / Internet,-21,2013,231,CSX,11756,1859
Dominion Resources,Utilities: Gas and Electric,9,2013,232,Whole Foods Market,11698.8,465.6
Leucadia National,Food Production,8,2013,233,EOG Resources,11682.6,570.3
"Toys ""R"" Us",Specialty Retailers: Other,15,2013,234,H.J. Heinz,11649.1,923.2
DTE Energy,Utilities: Gas and Electric,-2,2013,235,Lincoln National,11532,1313
Ameriprise Financial,Diversified Financials,1,2013,236,Health Net,11481.2,122.1
VF,Apparel,7,2013,237,C.H. Robinson Worldwide,11359.1,593.8
Praxair,Chemicals,-10,2013,238,Guardian Life Ins. Co. of America,11293.9,265.8
J.C. Penney,General Merchandisers,-8,2013,239,SunTrust Banks,11240,1958
Automatic Data Processing,Diversified Outsourcing Services,6,2013,240,SAIC,11229,525
L-3 Communications,Aerospace and Defense,-3,2013,241,Praxair,11224,1692
CDW,Information Technology Services,14,2013,241,Huntsman,11224,363
Guardian Life Ins. Co. of America,"Insurance: Life, Health (Mutual)",2,2013,243,Peter Kiewit Sons',11220,290
Xcel Energy,Utilities: Gas and Electric,-10,2013,244,Las Vegas Sands,11131.1,1524.1
Norfolk Southern,Railroads,-8,2013,245,Stanley Black & Decker,11121.1,883.8
PPL,Utilities: Gas and Electric,1,2013,246,Mosaic,11107.8,1930.2
R.R. Donnelley & Sons,"Publishing, Printing",2,2013,247,Norfolk Southern,11040,1749
Huntsman,Chemicals,7,2013,248,URS,10972.5,310.6
Bed Bath & Beyond,Specialty Retailers: Other,14,2013,249,Jacobs Engineering Group,10893.8,379
Stanley Black & Decker,"Home Equipment, Furnishings",-9,2013,250,VF,10879.9,1086
L Brands,Specialty Retailers: Apparel,7,2013,251,BB&T Corp.,10737,1979
Liberty Interactive,Internet Services and Retailing,14,2013,252,Avon Products,10717.1,-42.5
Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),9,2013,253,Office Depot,10695.7,-77.1
First Data,Financial Data Services,-8,2013,254,First Data,10680.3,-700.9
Sherwin-Williams,Chemicals,15,2013,255,Automatic Data Processing,10665.2,1388.5
BlackRock,Securities,11,2013,256,Liberty Global,10604.5,322.8
Voya Financial,"Insurance: Life, Health (stock)",3,2013,257,Unum Group,10515.4,894.4
Ross Stores,Specialty Retailers: Apparel,13,2013,258,L Brands,10458.7,753
Estee Lauder,Household and Personal Products,15,2013,259,CarMax,10453.8,413.8
H.J. Heinz,Food Consumer Products,6,2013,260,Visa,10421,2144
Reinsurance Group of America,"Insurance: Life, Health (stock)",2,2013,261,Entergy,10302.1,846.7
Public Service Enterprise Group,Utilities: Gas and Electric,1,2013,262,Synnex,10285.5,151.4
Cameron International,"Oil and Gas Equipment, Services",-2,2013,263,Ameriprise Financial,10259,1029
Navistar International,Motor Vehicles and Parts,4,2013,264,R.R. Donnelley & Sons,10221.9,-651.4
CST Brands,Specialty Retailers: Other,-1,2013,265,Kinder Morgan,10200,315
State Street Corp.,Commercial Banks,-1,2013,266,Xcel Energy,10128.2,905.2
Hilton Worldwide Holdings,"Hotels, Casinos, Resorts",9,2013,267,CDW,10128.2,119
Family Dollar Stores,General Merchandisers,-2,2013,268,State Street Corp.,10125,2061
Principal Financial,"Insurance: Life, Health (stock)",14,2013,269,Tenet Healthcare,10058,152
Reliance Steel & Aluminum,Metals,7,2013,270,Liberty Interactive,10054,1530
Air Products & Chemicals,Chemicals,-7,2013,271,Genworth Financial,10023,323
Assurant,Insurance: Property and Casualty (Stock),-5,2013,272,AGCO,9962.2,522.1
Peter Kiewit Sons',"Engineering, Construction",7,2013,273,Air Products & Chemicals,9869.7,1167.3
Henry Schein,Wholesalers: Health Care,15,2013,274,Newmont Mining,9868,1809
Cognizant Technology Solutions,Information Technology Services,-10,2013,275,Reinsurance Group of America,9840.9,631.9
W.W. Grainger,Wholesalers: Diversified,0,2013,276,Public Service Enterprise Group,9781,1275
Group 1 Automotive,"Automotive Retailing, Services",0,2013,277,KKR,9739.6,560.8
BB&T Corp.,Commercial Banks,-4,2013,278,Ross Stores,9721.1,786.8
Rock-Tenn,"Packaging, Containers",8,2013,279,Est̩e Lauder,9713.6,856.9
Advance Auto Parts,Specialty Retailers: Other,7,2013,280,Gilead Sciences,9702.5,2591.6
Ally Financial,Commercial Banks,14,2013,281,Sempra Energy,9647,859
AGCO,Construction and Farm Machinery,-5,2013,282,Sherwin-Williams,9534.5,631
Corning,Network and Other Communications Equipment,-2,2013,283,Western Refining,9503.1,398.9
Biogen,Pharmaceuticals,14,2013,284,Devon Energy,9502,-206
NGL Energy Partners,Wholesalers: Diversified,1,2013,285,Bed Bath & Beyond,9499.9,989.5
Stryker,Medical Products and Equipment,11,2013,286,BlackRock,9337,2458
Molina Healthcare,Health Care: Insurance and Managed Care,-6,2013,287,Family Dollar Stores,9331,422.2
Precision Castparts,Aerospace and Defense,8,2013,288,Hillshire Brands,9323,845
Genworth Financial,"Insurance: Life, Health (stock)",-6,2013,289,Leucadia National,9293.9,854.5
Eastman Chemical,Chemicals,9,2013,290,Principal Financial,9215.1,805.9
Dean Foods,Food Consumer Products,14,2013,291,Rock-Tenn,9207.6,249.1
AutoZone,Specialty Retailers: Other,2,2013,292,MGM Resorts International,9160.8,-1767.7
MasterCard,Financial Data Services,7,2013,293,Hertz Global Holdings,9020.8,243.1
Owens & Minor,Wholesalers: Health Care,4,2013,294,Discover Financial Services,8984,2345
Hormel Foods,Food Consumer Products,8,2013,295,W.W. Grainger,8950,689.9
GameStop,Specialty Retailers: Other,13,2013,296,Henry Schein,8940,388.1
Autoliv,Motor Vehicles and Parts,7,2013,297,Owens & Minor,8908.1,109
CenterPoint Energy,Utilities: Gas and Electric,15,2013,298,GameStop,8886.7,-269.7
Fidelity National Financial,Insurance: Property and Casualty (Stock),5,2013,299,DTE Energy,8846,610
Sonic Automotive,"Automotive Retailing, Services",16,2013,300,Caesars Entertainment,8798.7,-1497.5
HD Supply Holdings,Wholesalers: Diversified,-3,2013,301,Ball,8735.7,403.5
Charter Communications,Telecommunications,0,2013,302,Applied Materials,8719,109
Crown Holdings,"Packaging, Containers",7,2013,303,Centene,8703.6,1.9
Applied Materials,Semiconductors and Other Electronic Components,0,2013,304,Motorola Solutions,8698,881
Mosaic,Chemicals,12,2013,305,Stryker,8657,1298
CBRE Group,Real estate,-10,2013,306,AutoZone,8603.9,930.4
Avon Products,Household and Personal Products,-8,2013,307,Sonic Automotive,8548.4,89.1
Republic Services,Waste Management,1,2013,308,Dover,8538.8,811.1
Universal Health Services,Health Care: Medical Facilities,0,2013,309,Assurant,8508.3,483.7
Darden Restaurants,Food Services,1,2013,310,Cameron International,8502.1,750.5
Steel Dynamics,Metals,0,2013,311,DaVita HealthCare Partners,8489.5,536
SunTrust Banks,Commercial Banks,16,2013,312,Crown Holdings,8470,557
Caesars Entertainment,"Hotels, Casinos, Resorts",11,2013,313,Reliance Steel & Aluminum,8442.3,403.5
Targa Resources,Pipelines,-2,2013,314,NRG Energy,8422,559
Dollar Tree,Specialty Retailers: Other,-1,2013,315,Peabody Energy,8306.6,-585.7
News Corp.,"Publishing, Printing",0,2013,316,Reynolds American,8304,1272
Ball,"Packaging, Containers",-7,2013,317,Autoliv,8266.7,483.1
Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",16,2013,318,Micron Technology,8234,-1032
Masco,"Home Equipment, Furnishings",15,2013,319,Hormel Foods,8230.7,500.1
Franklin Resources,Securities,11,2013,320,AECOM Technology,8218.2,-58.6
Avis Budget Group,"Automotive Retailing, Services",9,2013,321,Ashland,8206,26
Reynolds American,Tobacco,-3,2013,322,Oshkosh,8193.3,230.8
Becton Dickinson,Medical Products and Equipment,13,2013,323,Republic Services,8118.3,571.8
Priceline Group,Internet Services and Retailing,-1,2013,324,Eastman Chemical,8102,437
Broadcom,Semiconductors and Other Electronic Components,0,2013,325,Thrivent Financial for Lutherans,8018.4,487.6
Tenneco,Motor Vehicles and Parts,15,2013,326,Corning,8012,1728
Campbell Soup,Food Consumer Products,11,2013,327,Broadcom,8006,719
Visteon,Motor Vehicles and Parts,14,2013,328,Darden Restaurants,7998.7,475.5
Delek US Holdings,Petroleum Refining,16,2013,329,TravelCenters of America,7995.7,32.2
Dover,Industrial Machinery,2,2013,330,HD Supply,7994,-639
BorgWarner,Motor Vehicles and Parts,3,2013,331,Spectrum Group International,7974.8,4.1
Jarden,"Home Equipment, Furnishings",-10,2013,332,Becton Dickinson,7946.8,1169.9
UGI,Energy,8,2013,333,Sealed Air,7921.6,-1410.3
Murphy Oil,"Mining, Crude-Oil Production",9,2013,334,KBR,7921,144
PVH,Apparel,14,2013,335,Commercial Metals,7859,207.5
Core-Mark Holding,Wholesalers: Food and Grocery,7,2013,336,Masco,7816,-114
Calpine,Energy,14,2013,337,Universal Health Services,7783.3,443.4
D.R. Horton,Homebuilders,12,2013,338,Campbell Soup,7707,774
Weyerhaeuser,Forest and Paper Products,4,2013,339,Coca-Cola Enterprises,7562,677
KKR,Securities,16,2013,340,Charter Communications,7504,-304
FMC Technologies,"Oil and Gas Equipment, Services",3,2013,341,Quest Diagnostics,7499.5,555.7
American Family Insurance Group,Insurance: Property and Casualty (Stock),13,2013,342,Williams,7486,859
SpartanNash,Wholesalers: Food and Grocery,15,2013,343,Group 1 Automotive,7476.1,100.2
